Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,reward_low_FP_rate,benign/2024-02-05_01_benignLoop.csv,1.0,-0.44,0,222,2,0,224
knncad,reward_low_FP_rate,benign/2024-02-05_02_benignLoop.csv,1.0,-0.44,0,476,2,0,478
knncad,reward_low_FP_rate,benign/2024-02-05_03_benignLoop.csv,1.0,-1.1,0,685,5,0,690
knncad,reward_low_FP_rate,benign/2024-02-05_04_benignLoop.csv,1.0,-0.22,0,142,1,0,143
knncad,reward_low_FP_rate,benign/2024-02-05_05_benignLoop.csv,1.0,-0.44,0,136,2,0,138
knncad,reward_low_FP_rate,benign/2024-02-05_06_benignLoop.csv,1.0,-0.22,0,136,1,0,137
knncad,reward_low_FP_rate,benign/2024-02-05_07_benignLoop.csv,1.0,-0.22,0,135,1,0,136
knncad,reward_low_FP_rate,benign/2024-02-05_08_benignLoop.csv,1.0,-0.22,0,130,1,0,131
knncad,reward_low_FP_rate,benign/2024-02-05_09_benignLoop.csv,1.0,-0.22,0,134,1,0,135
knncad,reward_low_FP_rate,benign/2024-02-05_10_benignLoop.csv,1.0,-0.22,0,134,1,0,135
knncad,reward_low_FP_rate,benign/2024-02-05_11_benignLoop.csv,1.0,-0.44,0,139,2,0,141
knncad,reward_low_FP_rate,benign/2024-02-05_12_benignLoop.csv,1.0,-0.22,0,131,1,0,132
knncad,reward_low_FP_rate,benign/2024-02-05_13_benignLoop.csv,1.0,-1.1,0,568,5,0,573
knncad,reward_low_FP_rate,benign/2024-02-05_14_benignLoop.csv,1.0,-0.44,0,126,2,0,128
knncad,reward_low_FP_rate,benign/2024-02-05_15_benignLoop.csv,1.0,-0.44,0,142,2,0,144
knncad,reward_low_FP_rate,benign/2024-02-05_16_benignLoop.csv,1.0,-0.66,0,521,3,0,524
knncad,reward_low_FP_rate,benign/2024-02-05_17_benignLoop.csv,1.0,-0.22,0,138,1,0,139
knncad,reward_low_FP_rate,benign/2024-02-05_18_benignLoop.csv,1.0,-1.1,0,709,5,0,714
knncad,reward_low_FP_rate,benign/2024-02-05_19_benignLoop.csv,1.0,-1.1,0,672,5,0,677
knncad,reward_low_FP_rate,benign/2024-02-05_20_benignLoop.csv,1.0,0.0,0,134,0,0,134
knncad,reward_low_FP_rate,benign/2024-02-06_01_benignLoop.csv,1.0,-0.88,0,701,4,0,705
knncad,reward_low_FP_rate,benign/2024-02-06_02_benignLoop.csv,1.0,-0.22,0,135,1,0,136
knncad,reward_low_FP_rate,benign/2024-02-06_03_benignLoop.csv,1.0,-0.22,0,134,1,0,135
knncad,reward_low_FP_rate,benign/2024-02-06_04_benignLoop.csv,1.0,-0.44,0,132,2,0,134
knncad,reward_low_FP_rate,benign/2024-02-06_05_benignLoop.csv,1.0,-0.44,0,138,2,0,140
knncad,reward_low_FP_rate,benign/2024-02-06_06_benignLoop.csv,1.0,-1.1,0,747,5,0,752
knncad,reward_low_FP_rate,benign/2024-02-06_07_benignLoop.csv,1.0,-0.22,0,146,1,0,147
knncad,reward_low_FP_rate,benign/2024-02-06_08_benignLoop.csv,1.0,-0.22,0,135,1,0,136
knncad,reward_low_FP_rate,benign/2024-02-06_09_benignLoop.csv,1.0,-0.22,0,132,1,0,133
knncad,reward_low_FP_rate,benign/2024-02-06_10_benignLoop.csv,1.0,-0.44,0,145,2,0,147
